traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
開,开,ㄎㄞ,kāi,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2] / abbr. for 開本|开本[kai1 ben3], book format",,V,Novice 2
冷,冷,ㄌㄥˇ,lěng,cold,,Vs,Novice 2
熱,热,ㄖㄜˋ,rè,to warm up / to heat up / hot (of weather) / heat / fervent,,Vs,Novice 2
洗澡,洗澡,ㄒㄧˇ ㄗㄠˇ,xǐ zǎo,to bathe / to take a shower,,V-sep,Novice 2
咖啡,咖啡,ㄎㄚ ㄈㄟ,kā fēi,coffee (loanword),杯|杯,N,Novice 2
茶,茶,ㄔㄚˊ,chá,tea / tea plant,杯|杯 / 壺|壶,N,Novice 2
生活,生活,ㄕㄥ ㄏㄨㄛˊ,shēng huó,life / activity / to live / livelihood,,N,Novice 2
用,用,ㄩㄥˋ,yòng,to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore,,V,Novice 2
洗,洗,ㄒㄧˇ,xǐ,to wash / to bathe / to develop (photo),,V,Novice 2
穿,穿,ㄔㄨㄢ,chuān,to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread,,V,Novice 2
起床,起床,ㄑㄧˇ ㄔㄨㄤˊ,qǐ chuáng,to get out of bed / to get up,,Vp,Novice 2
方便,方便,ㄈㄤ ㄅㄧㄢˋ,fāng biàn,convenient / suitable / to facilitate / to make things easy / having money to spare / (euphemism) to relieve oneself,,Vs,Novice 2
睡覺,睡觉,ㄕㄨㄟˋ ㄐㄧㄠˋ,shuì jiào,to go to bed / to sleep,,V-sep,Novice 2
先,先,ㄒㄧㄢ,xiān,early / prior / former / in advance / first,,Adv,Novice 2
常常,常常,ㄔㄤˊ ㄔㄤˊ,cháng cháng,frequently / often,,Adv,Novice 2
每,每,ㄇㄟˇ,měi,each / every,,Det,Novice 2
次,次,ㄘˋ,cì,"next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time",,M,Novice 2
音樂,音乐,ㄧㄣ ㄩㄝˋ,yīn yuè,music,張|张 / 曲|曲 / 段|段,N,Novice 2
票,票,ㄆㄧㄠˋ,piào,"ticket / ballot / banknote / person held for ransom / amateur performance of Chinese opera / classifier for groups, batches, business transactions",張|张,N,Novice 2
照片,照片,ㄓㄠˋ ㄆㄧㄢˋ,zhào piàn,photograph / picture,張|张 / 套|套 / 幅|幅,N,Novice 2
打,打,ㄉㄚˇ,dǎ,to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from,,V,Novice 2
玩,玩,ㄨㄢˊ,wán,to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment,,V,Novice 2
跑,跑,ㄆㄠˇ,pǎo,to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off,,Vi,Novice 2
運動,运动,ㄩㄣˋ ㄉㄨㄥˋ,yùn dòng,to move / to exercise / sports / exercise / motion / movement / campaign,場|场,Vi,Novice 2
運動,运动,ㄩㄣˋ ㄉㄨㄥˋ,yùn dòng,to move / to exercise / sports / exercise / motion / movement / campaign,場|场,N,Novice 2
開始,开始,ㄎㄞ ㄕˇ,kāi shǐ,to begin / beginning / to start / initial,個|个,Vp,Novice 2
走路,走路,ㄗㄡˇ ㄌㄨˋ,zǒu lù,to walk / to go on foot,,V-sep,Novice 2
唱歌,唱歌,ㄔㄤˋ ㄍㄜ,chàng gē,to sing a song,,V-sep,Novice 2
信,信,ㄒㄧㄣˋ,xìn,letter / mail / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random,封|封,N,Novice 2
喂,喂,ㄨㄟˊ,wéi,"hey / to feed (an animal, baby, invalid etc)",,Ptc,Novice 2
喂,喂,ㄨㄟˋ,wèi,"hey / to feed (an animal, baby, invalid etc)",,Ptc,Novice 2
介紹,介绍,ㄐㄧㄝˋ ㄕㄠˋ,jiè shào,to introduce (sb to sb) / to give a presentation / to present (sb for a job etc) / introduction,,V,Novice 2
換,换,ㄏㄨㄢˋ,huàn,to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency),,V,Novice 2
認識,认识,ㄖㄣˋ ㄕˋ,rèn shì,to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition,,Vpt,Novice 2
沒關係,没关系,ㄇㄟˊ ㄍㄨㄢ ㄒㄧ˙,méi guān xi,it doesn't matter,,Vs,Novice 2
怎麼,怎么,ㄗㄣˇ ㄇㄜ˙,zěn me,how? / what? / why?,,Adv,Novice 2
哪,哪,ㄋㄚˇ,nǎ,"which? (interrogative, followed by classifier or numeral-classifier)",,Det,Novice 2
哪裡,哪里,ㄋㄚˇ ㄌㄧˇ,nǎ lǐ,where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment,,N,Novice 2
哪兒,哪儿,ㄋㄚˇ ㄦ,nǎ r1,where? / wherever / anywhere,,N,Novice 2
這裡,这里,ㄓㄜˋ ㄌㄧˇ,zhè lǐ,here,,N,Novice 2
這兒,这儿,ㄓㄜˋ ㄦ,zhè r1,here,,N,Novice 2
那裡,那里,ㄋㄚˋ ㄌㄧˇ,nà lǐ,there / that place,,N,Novice 2
那兒,那儿,ㄋㄚˋ ㄦ,nà r1,there,,N,Novice 2
上面,上面,ㄕㄤˋ ㄇㄧㄢ˙,shàng mian,on top of / above-mentioned / also pr. [shang4 mian5],,N,Novice 2
上,上,ㄕㄤˋ,shàng,on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university),,N,Novice 2
下面,下面,ㄒㄧㄚˋ ㄇㄧㄢ˙,xià mian,below / under / next / the following / also pr. [xia4 mian5],,N,Novice 2
下,下,ㄒㄧㄚˋ,xià,"down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action",,N,Novice 2
外面,外面,ㄨㄞˋ ㄇㄧㄢ˙,wài mian,outside (also pr. [wai4 mian5] for this sense) / surface / exterior / external appearance,,N,Novice 2
外,外,ㄨㄞˋ,wài,outside / in addition / foreign / external,,N,Novice 2
前面,前面,ㄑㄧㄢˊ ㄇㄧㄢ˙,qián mian,ahead / in front / preceding / above / also pr. [qian2 mian5],,N,Novice 2
前,前,ㄑㄧㄢˊ,qián,front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly,,N,Novice 2
後面,后面,ㄏㄡˋ ㄇㄧㄢ˙,hòu mian,rear / back / behind / later / afterwards / also pr. [hou4 mian5],,N,Novice 2
後,后,ㄏㄡˋ,hòu,back / behind / rear / afterwards / after / later / post-,,N,Novice 2
右邊,右边,ㄧㄡˋ ㄅㄧㄢ,yòu biān,"right side / right, to the right",,N,Novice 2
左邊,左边,ㄗㄨㄛˇ ㄅㄧㄢ,zuǒ biān,left / the left side / to the left of,,N,Novice 2
旁邊,旁边,ㄆㄤˊ ㄅㄧㄢ,páng biān,lateral / side / to the side / beside,,N,Novice 2
中間,中间,ㄓㄨㄥ ㄐㄧㄢ,zhōng jiān,between / intermediate / mid / middle,,N,Novice 2
地鐵,地铁,ㄉㄧˋ ㄊㄧㄝˇ,dì tiě,subway / metro,,N,Novice 2
地方,地方,ㄉㄧˋ ㄈㄤ,dì fāng,area / place / space / room / territory,處|处 / 個|个 / 塊|块,N,Novice 2
附近,附近,ㄈㄨˋ ㄐㄧㄣˋ,fù jìn,(in the) vicinity / nearby / neighboring / next to,,N,Novice 2
離,离,ㄌㄧˊ,lí,"to leave / to part from / to be away from / (in giving distances) from / without (sth) / independent of / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire / ☲",,Prep,Novice 2
往,往,ㄨㄤˇ,wǎng,to go (in a direction) / to / towards / (of a train) bound for / past / previous,,Prep,Novice 2
送,送,ㄙㄨㄥˋ,sòng,to deliver / to carry / to give (as a present) / to present (with) / to see off / to send,,V,Novice 2
帶,带,ㄉㄞˋ,dài,band / belt / girdle / ribbon / tire / area / zone / region / to wear / to carry / to take along / to bear (i.e. to have) / to lead / to bring / to look after / to raise,條|条,V,Novice 2
放,放,ㄈㄤˋ,fàng,to put / to place / to release / to free / to let go / to let out / to set off (fireworks),,V,Novice 2
拿,拿,ㄋㄚˊ,ná,to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把[ba3]: to mark the following noun as a direct object),,V,Novice 2
進來,进来,ㄐㄧㄣˋ ㄌㄞˊ,jìn lái,to come in,,Vi,Novice 2
出去,出去,ㄔㄨ ㄑㄩˋ,chū qù,to go out,,Vi,Novice 2
站,站,ㄓㄢˋ,zhàn,station / to stand / to halt / to stop / branch of a company or organization / website,,Vi,Novice 2
快,快,ㄎㄨㄞˋ,kuài,rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plainspoken / gratified / pleased / pleasant,,Vs,Novice 2
慢,慢,ㄇㄢˋ,màn,slow,,Vs,Novice 2
近,近,ㄐㄧㄣˋ,jìn,near / close to / approximately,,Vs,Novice 2
遠,远,ㄩㄢˇ,yuǎn,to distance oneself from (classical),,Vs,Novice 2
手,手,ㄕㄡˇ,shǒu,hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill,雙|双 / 隻|只,N,Novice 2
身體,身体,ㄕㄣ ㄊㄧˇ,shēn tǐ,the body / one's health / in person,具|具 / 個|个,N,Novice 2
眼睛,眼睛,ㄧㄢˇ ㄐㄧㄥ,yǎn jīng,eye,隻|只 / 雙|双,N,Novice 2
藥,药,ㄧㄠˋ,yào,"medicine / drug / substance used for a specific purpose (e.g. poisoning, explosion, fermenting) / to poison",種|种 / 服|服 / 味|味,N,Novice 2
累,累,ㄌㄟˋ,lèi,tired / weary / to strain / to wear out / to work hard,,Vs,Novice 2
雙,双,ㄕㄨㄤ,shuāng,two / double / pair / both / even (number),,M,Novice 2
元,元,ㄩㄢˊ,yuán,currency unit (esp. Chinese yuan) / first / original / primary / fundamental / constituent / part / era (of a reign) / meta- (prefix) / (math.) argument / variable / (Tw) (geology) eon,,M,Novice 2
鞋子,鞋子,ㄒㄧㄝˊ ㄗ˙,xié zi,shoe,,N,Novice 2
褲子,裤子,ㄎㄨˋ ㄗ˙,kù zi,trousers / pants,條|条,N,Novice 2
市場,市场,ㄕˋ ㄔㄤˇ,shì chǎng,marketplace / market (also in abstract),,N,Novice 2
衣服,衣服,ㄧ ㄈㄨˊ,yī fú,clothes,件|件 / 套|套,N,Novice 2
比,比,ㄅㄧˇ,bǐ,to associate with / to be near,,Prep,Novice 2
要,要,ㄧㄠˋ,yào,important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if,,V,Novice 2
要,要,ㄧㄠˋ,yào,important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if,,Aux,Novice 2
長,长,ㄔㄤˊ,cháng,chief / head / elder / to grow / to develop / to increase / to enhance,,Vs,Novice 2
新,新,ㄒㄧㄣ,xīn,new / newly / meso- (chemistry),,Vs,Novice 2
一樣,一样,ㄧ ㄧㄤˋ,yī yàng,same / like / equal to / the same as / just like,,Vs,Novice 2
好吃,好吃,ㄏㄠˇ ㄔ,hǎo chī,to be fond of eating / to be gluttonous,,Vs,Novice 2
件,件,ㄐㄧㄢˋ,jiàn,"item / component / classifier for events, things, clothes etc",,M,Novice 2
杯,杯,ㄅㄟ,bēi,"cup / trophy cup / classifier for certain containers of liquids: glass, cup",,M,Novice 2
瓶,瓶,ㄆㄧㄥˊ,píng,bottle / vase / pitcher / classifier for wine and liquids,個|个,M,Novice 2
菜,菜,ㄘㄞˋ,cài,dish (type of food) / vegetable / cuisine / (coll.) (one's) type / (of one's skills etc) weak / poor,盤|盘 / 道|道,N,Novice 2
蘋果,苹果,ㄆㄧㄥˊ ㄍㄨㄛˇ,píng guǒ,apple,個|个 / 顆|颗,N,Novice 2
肉,肉,ㄖㄡˋ,ròu,meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute / Kangxi radical 130,,N,Novice 2
酒,酒,ㄐㄧㄡˇ,jiǔ,wine (esp. rice wine) / liquor / spirits / alcoholic beverage,杯|杯 / 瓶|瓶 / 罐|罐 / 桶|桶 / 缸|缸,N,Novice 2
喝,喝,ㄏㄜ,hē,to shout,,V,Novice 2
少,少,ㄕㄠˇ,shǎo,young,,Vs-pred,Novice 2
多,多,ㄉㄨㄛ,duō,"many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means ""how""",,Vs-pred,Novice 2
多,多,ㄉㄨㄛ,duō,"many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means ""how""",,Adv,Novice 2
一起,一起,ㄧ ㄑㄧˇ,yī qǐ,in the same place / together / with / altogether (in total),,Adv,Novice 2
因為,因为,ㄧㄣ ㄨㄟˋ,yīn wèi,because / owing to / on account of,,Conj,Novice 2
和,和,ㄏㄜˊ,hé,to mix (ingredients) together / to blend / classifier for rinses of clothes / classifier for boilings of medicinal herbs,,Conj,Novice 2
所以,所以,ㄙㄨㄛˇ ㄧˇ,suǒ yǐ,therefore / as a result / so / the reason why,,Conj,Novice 2
跟,跟,ㄍㄣ,gēn,heel / to follow closely / to go with / (of a woman) to marry sb / with / compared with / to / towards / and (joining two nouns),,Conj,Novice 2
著,着,ㄓㄜ˙,zhe,to make known / to show / to prove / to write / book / outstanding,,Ptc,Novice 2
可能,可能,ㄎㄜˇ ㄋㄥˊ,kě néng,might (happen) / possible / probable / possibility / probability / maybe / perhaps,個|个,Aux,Novice 2
姓名,姓名,ㄒㄧㄥˋ ㄇㄧㄥˊ,xìng míng,surname and given name / full name,,N,Level 1
公園,公园,ㄍㄨㄥ ㄩㄢˊ,gōng yuán,park (for public recreation),個|个 / 座|座,N,Level 1
國家,国家,ㄍㄨㄛˊ ㄐㄧㄚ,guó jiā,country / nation / state,個|个,N,Level 1
城市,城市,ㄔㄥˊ ㄕˋ,chéng shì,city / town,座|座,N,Level 1
街,街,ㄐㄧㄝ,jiē,street,條|条,N,Level 1
電子郵件,电子邮件,ㄉㄧㄢˋ ㄗˇ ㄧㄡˊ ㄐㄧㄢˋ,diàn zǐ yóu jiàn,email,封|封 / 份|份,N,Level 1
結婚,结婚,ㄐㄧㄝˊ ㄏㄨㄣ,jié hūn,to marry / to get married,次|次,Vp-sep,Level 1
小時,小时,ㄒㄧㄠˇ ㄕˊ,xiǎo shí,hour,個|个,N,Level 1
點鐘,点钟,ㄉㄧㄢˇ ㄓㄨㄥ,diǎn zhōng,(indicating time of day) o'clock,,M,Level 1
分鐘,分钟,ㄈㄣ ㄓㄨㄥ,fēn zhōng,minute,,M,Level 1
夏天,夏天,ㄒㄧㄚˋ ㄊㄧㄢ,xià tiān,summer,個|个,N,Level 1
冬天,冬天,ㄉㄨㄥ ㄊㄧㄢ,dōng tiān,winter,個|个,N,Level 1
秋天,秋天,ㄑㄧㄡ ㄊㄧㄢ,qiū tiān,autumn,個|个,N,Level 1
春天,春天,ㄔㄨㄣ ㄊㄧㄢ,chūn tiān,spring (season),個|个,N,Level 1
年輕,年轻,ㄋㄧㄢˊ ㄑㄧㄥ,nián qīng,young,,Vs,Level 1
老,老,ㄌㄠˇ,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough,,Vs,Level 1
男生,男生,ㄋㄢˊ ㄕㄥ,nán shēng,schoolboy / male student / boy / guy (young adult male),,N,Level 1
女生,女生,ㄋㄩˇ ㄕㄥ,nǚ shēng,schoolgirl / female student / girl,,N,Level 1
小孩,小孩,ㄒㄧㄠˇ ㄏㄞˊ,xiǎo hái,child,個|个,N,Level 1
家人,家人,ㄐㄧㄚ ㄖㄣˊ,jiā rén,household / (one's) family,,N,Level 1
緊張,紧张,ㄐㄧㄣˇ ㄓㄤ,jǐn zhāng,nervous / keyed up / intense / tense / strained / in short supply / scarce,陣|阵,Vs,Level 1
可愛,可爱,ㄎㄜˇ ㄞˋ,kě ài,adorable / cute / lovely,,Vs,Level 1
胖,胖,ㄆㄤˋ,pàng,fat / plump,,Vs,Level 1
矮,矮,ㄞˇ,ǎi,low / short (in length),,Vs,Level 1
瘦,瘦,ㄕㄡˋ,shòu,thin / to lose weight / (of clothing) tight / (of meat) lean / (of land) unproductive,,Vs,Level 1
千,千,ㄑㄧㄢ,qiān,thousand,,N,Level 1
萬,万,ㄨㄢˋ,wàn,ten thousand / a great number,,N,Level 1
在,在,ㄗㄞˋ,zài,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),,Adv,Level 1
辦公室,办公室,ㄅㄢˋ ㄍㄨㄥ ㄕˋ,bàn gōng shì,office / business premises / bureau,間|间,N,Level 1
工廠,工厂,ㄍㄨㄥ ㄔㄤˇ,gōng chǎng,factory,家|家 / 座|座,N,Level 1
工人,工人,ㄍㄨㄥ ㄖㄣˊ,gōng rén,worker,個|个 / 名|名,N,Level 1
護士,护士,ㄏㄨˋ ㄕˋ,hù shì,nurse,個|个,N,Level 1
司機,司机,ㄙ ㄐㄧ,sī jī,chauffeur / driver,個|个,N,Level 1
老闆,老板,ㄌㄠˇ ㄅㄢˇ,lǎo bǎn,boss / business proprietor,個|个,N,Level 1
老板,老板,ㄌㄠˇ ㄅㄢˇ,lǎo bǎn,variant of 老闆|老板[lao3 ban3],,N,Level 1
同事,同事,ㄊㄨㄥˊ ㄕˋ,tóng shì,colleague / co-worker,個|个 / 位|位,N,Level 1
上班,上班,ㄕㄤˋ ㄅㄢ,shàng bān,to go to work / to be on duty / to start work / to go to the office,,V-sep,Level 1
小學,小学,ㄒㄧㄠˇ ㄒㄩㄝˊ,xiǎo xué,elementary school / primary school,個|个,N,Level 1
上學,上学,ㄕㄤˋ ㄒㄩㄝˊ,shàng xué,to go to school / to attend school,,V-sep,Level 1
作業,作业,ㄗㄨㄛˋ ㄧㄝˋ,zuò yè,school assignment / homework / work / task / operation / to operate,個|个,N,Level 1
功課,功课,ㄍㄨㄥ ㄎㄜˋ,gōng kè,homework / assignment / task / classwork / lesson / study,門|门,N,Level 1
請假,请假,ㄑㄧㄥˇ ㄐㄧㄚˋ,qǐng jià,to request leave of absence,,V-sep,Level 1
教室,教室,ㄐㄧㄠˋ ㄕˋ,jiào shì,classroom,間|间,N,Level 1
洗手間,洗手间,ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ,xǐ shǒu jiān,toilet / lavatory / washroom,,N,Level 1
廁所,厕所,ㄘㄜˋ ㄙㄨㄛˇ,cè suǒ,toilet / lavatory,間|间 / 處|处,N,Level 1
語言,语言,ㄩˇ ㄧㄢˊ,yǔ yán,language,門|门 / 種|种,N,Level 1
科學,科学,ㄎㄜ ㄒㄩㄝˊ,kē xué,science / scientific knowledge / scientific / rational,門|门 / 個|个 / 種|种,N,Level 1
華語,华语,ㄏㄨㄚˊ ㄩˇ,huá yǔ,Chinese language,,N,Level 1
華文,华文,ㄏㄨㄚˊ ㄨㄣˊ,huá wén,Chinese language / Chinese script,,N,Level 1
黑板,黑板,ㄏㄟ ㄅㄢˇ,hēi bǎn,blackboard,塊|块 / 個|个,N,Level 1
課本,课本,ㄎㄜˋ ㄅㄣˇ,kè běn,textbook,本|本,N,Level 1
句子,句子,ㄐㄩˋ ㄗ˙,jù zi,sentence,個|个,N,Level 1
注意,注意,ㄓㄨˋ ㄧˋ,zhù yì,to take note of / to pay attention to,,Vst,Level 1
讀書,读书,ㄉㄨˊ ㄕㄨ,dú shū,to read a book / to study / to attend school,,V-sep,Level 1
回答,回答,ㄏㄨㄟˊ ㄉㄚˊ,huí dá,to reply / to answer / the answer,個|个,V,Level 1
休息,休息,ㄒㄧㄡ ㄒㄧˊ,xiū xí,rest / to rest,,Vi,Level 1
決定,决定,ㄐㄩㄝˊ ㄉㄧㄥˋ,jué dìng,to decide (to do something) / to resolve / decision / certainly,個|个 / 項|项,N,Level 1
圖片,图片,ㄊㄨˊ ㄆㄧㄢˋ,tú piàn,image / picture / photograph,張|张,N,Level 1
畫,画,ㄏㄨㄚˋ,huà,to draw / picture / painting / classifier for paintings etc / variant of 劃|划[hua4],幅|幅 / 張|张,N,Level 1
畫兒,画儿,ㄏㄨㄚˋ ㄦ,huà r1,picture / drawing / painting,,N,Level 1
記得,记得,ㄐㄧˋ ㄉㄜ˙,jì de,to remember,,Vst,Level 1
房間,房间,ㄈㄤˊ ㄐㄧㄢ,fáng jiān,room,間|间 / 個|个,N,Level 1
廚房,厨房,ㄔㄨˊ ㄈㄤˊ,chú fáng,kitchen,間|间,N,Level 1
窗,窗,ㄔㄨㄤ,chuāng,shutter / window,扇|扇,N,Level 1
窗戶,窗户,ㄔㄨㄤ ㄏㄨ˙,chuāng hu,window,個|个 / 扇|扇,N,Level 1
樓,楼,ㄌㄡˊ,lóu,house with more than 1 story / storied building / floor,層|层 / 座|座 / 棟|栋,M,Level 1
樓上,楼上,ㄌㄡˊ ㄕㄤˋ,lóu shàng,upstairs,,N,Level 1
樓下,楼下,ㄌㄡˊ ㄒㄧㄚˋ,lóu xià,downstairs,,N,Level 1
電梯,电梯,ㄉㄧㄢˋ ㄊㄧ,diàn tī,elevator / escalator,臺|台 / 部|部,N,Level 1
家具,家具,ㄐㄧㄚ ㄐㄩˋ,jiā jù,furniture,件|件 / 套|套,N,Level 1
椅子,椅子,ㄧˇ ㄗ˙,yǐ zi,chair,把|把 / 套|套,N,Level 1
桌,桌,ㄓㄨㄛ,zhuō,table / desk / classifier for tables of guests at a banquet etc,,N,Level 1
桌子,桌子,ㄓㄨㄛ ㄗ˙,zhuō zi,table / desk,張|张 / 套|套,N,Level 1
沙發,沙发,ㄕㄚ ㄈㄚ,shā fā,sofa (loanword) / (Internet slang) the first reply or replier to a forum post,條|条 / 張|张,N,Level 1
床,床,ㄔㄨㄤˊ,chuáng,bed / couch / classifier for beds,張|张,N,Level 1
關,关,ㄍㄨㄢ,guān,mountain pass / to close / to shut / to turn off / to concern / to involve,,V,Level 1
冷氣,冷气,ㄌㄥˇ ㄑㄧˋ,lěng qì,air conditioning (Tw),,N,Level 1
冷氣機,冷气机,ㄌㄥˇ ㄑㄧˋ ㄐㄧ,lěng qì jī,air conditioner,,N,Level 1
安靜,安静,ㄢ ㄐㄧㄥˋ,ān jìng,quiet / peaceful / calm,,Vs,Level 1
不錯,不错,ㄅㄨˋ ㄘㄨㄛˋ,bù cuò,correct / right / not bad / pretty good,,Vs,Level 1
海邊,海边,ㄏㄞˇ ㄅㄧㄢ,hǎi biān,coast / seaside / seashore / beach,,N,Level 1
